Strain, Name,Species,Lab,Fermentation_Temp_Range_LOW,Fermentation_Temp_Range_HIGH,Apparant_Attenuation_Range_LOW,Apparant_Attenuation_Range_HIGH,  Flocculation, Alcohol_Tolerance, Notes, Best Styles,Substitutions
GB124,Saison Sour,Blend,GigaYeast,68,80,78,78,,4.5,"Sour with fruity esters and black pepper.  Lactic Acid Bacteria are inhibited by hops, high gravity and low temperatures. You can adjust sourness by increasing or decreasing these variables. More than 7 IBU, gravity above 1050 or temps below 65 F will increase the time to sour or lead to reduced overall souring. Warmer fermentation temps will typically increase the esters and spicy phenolics of the saison ale yeast in this blend.",,
GB150,Sour Cherry Funk,Blend,GigaYeast,68,80,51,89,,7.1,"Creates a tart beer with cherry esters and complex flavors. This blend creates an amazing complex, sour beer with fruity cherry esters.  Fermenting in the presence of 7-10 IBUs will cause the fermentation to complete much more quickly but will slow the souring —  expect to wait 3-4 months for significant souring.  Fermenting with zero or less than 5 IBUs will allow souring to happen much faster (within two weeks) but will cause the fermentation to take up to 4 weeks to complete.",,
GB156,Brux Blend,Blend,GigaYeast,68,80,79,79,,6.5,This blend is highly attenuative but tends to ferment about ½ as fast as a typical ale strain. This blend is highly attenuative if left for long periods of time but ferments more slowly than a typical ale yeast.  Use GB156 in a primary if fermented for 2-3 weeks or for conditioning a fermented beer during aging. A blend of Brettanomyces yeast that produces stone fruit esters and a hint of barnyard. Creates a moderate amount of acid that adds a tart complexity to the brew. ,,
OLY-210,Where Da Funk?,Blend,Omega,68,80,78,88,Very Low,11,"This blend produces huge tropical fruit aromas during fermentation that fade somewhat during conditioning. Has a wide temperature range and ferments very dry, leaving little body. Consider adding flaked oats if additional body is desired. This blend will not produce significant “funk” or acid, even with extended aging. The blend pairs well with fruity aroma hops to make a unique pale ale.  Brewery Source:  a Colorado brewery known for its Brett beers ",,
OLY-212 ,Bring on Da Funk,Blend,Omega,68,80,85,100,Very Low,11,"for a funky, fruity and complex 8-strain brew. Brett character will develop over time. Acid production will increase over time given exposure to oxygen.",,
WLP630,Berliner Weisse Blend,Blend,White Labs,68,72,73,80,Medium,10,"Can take several months to develop tart character. A blend of a traditional German Weizen yeast and Lactobacillus to create a subtle, tart, drinkable beer.",Berliner Weisse,
WLP655,Belgian Sour Mix 1,Blend,White Labs,80,85,70,80,Medium-Low,12,"A unique blend perfect for Belgian-style beers, it includes Brettanomyces and Saccharomyces yeasts and the bacterial strains Lactobacillus and Pediococcus. Perfect for duplicating traditional spontaneous fermentations similar to those found in Belgian-style ales.","Berliner Weisse, Flanders Brown, Flanders Red, Geuze, Gose, Lambic",
WLP665,Flemish Ale Blend,Blend,White Labs,68,80,80,85,Medium-Low,12,"Blended culture used to produce the classic beer styles of the West Flanders region of Belgium . A proprietary blend of Saccharomyces yeasts, Brettanomyces, Lactobacillus, and Pediococcus, this culture creates a more complex, dark stone fruit characteristic than WLP 655 Belgian Sour Mix.","Flanders Brown, Flanders Red, Geuze, Gose, Lambic",
WLP670,American Farmhouse Blend,Blend,White Labs,68,72,75,82,Medium,10,Inspired by local American brewers crafting semi- traditional Belgian-style ales. This blend creates a complex flavor profile with a moderate level of sourness. It consists of a traditional farmhouse yeast strain and Brettanomyces. Brewery source: Lost Abbey,"Great yeast for farmhouse ales, Saisons, and other Belgian-inspired beers.",
WLP677,Lactobacillus Bacteria,Blend,White Labs,70,75,75,82,Low,10,"This lactic acid bacteria produces moderate levels of acidity and sour flavors found in lambics, Berliner Weisse, sour brown ales and gueze.","Berliner Weisse, Flanders Brown, Flanders Red, Geuze, Gose, Lambic",
WY3031-PC,Saison-Brett Blend,Blend,Wyeast,65,80,80,90,Low,12,A blend of Saison yeast and Brettanomyces creates a dry and complex ale. Classic earthy and spicy farmhouse character meets tropical and stone fruit esters. Aging brings elevated Brett flavor. Expect high attenuation with this blend.,"Saison, Brett Beer, Mixed-Fermentation Sour Beer, Wild Specialty Beer, Belgian Gold Strong Ale",
WY3191-PC,Berliner-Weisse Blend,Blend,Wyeast,68,72,73,77,Low,6,"This blend includes a German ale strain with low ester formation and a dry, crisp finish. The Lactobacillus included produces moderate levels of acidity. The unique Brettanomyces strain imparts a critical earthy characteristic that is indicative of a true Berliner Weisse. When this blend is used, expect a slow start to fermentation as the yeast and bacteria in the blend is balanced to allow proper acid production. It generally requires 3-6 months of aging to fully develop flavor characteristics. Use this blend with worts containing extremely low hopping rates.","Berliner Weisse, Lambic, Gueuze, Fruit Lambi, Flanders Red Ale, Gose, Wild Specialty Beer, ",
WY3763,Roeselare Ale Blend,Blend,Wyeast,65,85,80,80,,11,"Our blend of lambic cultures produce beer with a complex, earthy profile and a distinctive pie cherry sourness. Aging up to 18 months is required for a full flavor profile and acidity to develop. Specific proportions of a Belgian style ale strain, a sherry strain, two Brettanomyces strains, a Lactobacillus culture, and a Pediococcus culture produce the desirable flavor components of these beers as they are brewed in West Flanders. Propagation of this culture is not recommended and will result in a change of the proportions of the individual components. This blend will produce a very dry beer due to the super-attenuative nature of the mixed cultures. Brewery source: Rodenbach","Lambic, Gueuze, Fruit Lambic, Flanders Red Ale, Oud Bruin",
WY3789-PC,PC Trappist Blend,Blend,Wyeast,68,85,75,80,Medium,12,"A unique blend of Belgian Saccharomyces and Brettanomyces for emulating Trappist style beer from the Florenville region in Belgium.Phenolics, mild fruitiness and complex spicy notes develop with increased fermentation temperatures. Subdued but classic Brett character.","Belgian Specialty Ale, Belgian Pale Ale, Flanders Red, Oud Bruin ",
WY5335,Lactobacillus,Blend,Wyeast,60,95,,,,9,"Lactic acid bacteria isolated from a Belgian brewery. This culture produces moderate levels of acidity and is commonly found in many types of beers including gueuze, lambics, sour brown ales and Berliner Weisse. It is always used in conjunction with S.cerevisiae and often with various wild yeast. Use in beers below 10 IBU is recommended due to the culture’s sensitivity to hop compounds. ","Lambic, Gueze, Fruit Lambic, Flanders Read Ale, Berliner Weisse, Oud Bruin, Mixed-Fermentation Sour Beer, Wild Specialty Beer, Historical Beer: Lichtenhainer",WLP677?
WY5733,Pediococcus damnosus,Blend,Wyeast,60,95,,,,9,Lactic acid bacteria used in the production of Belgian style beers where additional acidity is desirable. Often found in gueuze and other Belgian style beer. Acid production will increase with storage time. It may also cause “ropiness” and produce low levels of diacetyl with extended storage time.,"Lambic, Gueze, Fruit Lambic, Mixed-Fermentation Sour Beer, Wild Specialty Beer",
ECY19,B. custersianus,Brettanomyces,East Coast Yeast,,,,,,,"Peach, Mango. Brewery Source: Bantu Beer Brewery, South Africa",,
ECY24,Brettanomyces Nanus (Eeniella nana),Brettanomyces,East Coast Yeast,60,72,,,,,"A newcomer to brewing with wild yeast, this species of Brett reveals a phenolic, spicy, saison-like profile with none to low esters. Some earthiness and tartness may develop over time. Slow to attenuate fully alone, may be best in fermenting with other yeast. Sourced from bottled beer - Kalmar, Sweden. Source:Bottled beer - Kalmar, Sweden",,
ECY30,Naardenensis,Brettanomyces,East Coast Yeast,,,,,,,,"Sour ales, Wood-aged beers",
ECY34,Dirty Dozen,Brettanomyces,East Coast Yeast,60,74,85,100,,,"Twelve (12) different isolates of Brettanomyces exhibiting high production of barnyard funk and esters. Dryness, ripe fruit, and acidity will be encountered over a period of months and over time (>1 yr), may display gueuze-like qualities in complexity. Contains various isolates from lambic-producers, B. bruxellensis, B. anomala, B. lambicus, and B. naardenensis.  For those who want the most from Brett yeast, whether a 100% Brett fermentation is desired or adding to secondary aging projects. ",,
GB001,Brussel Bruxellensis,Brettanomyces,GigaYeast,68,80,58,58,,4.7,Produces classic Brett “Barnyard” characteristics plus some subtle fruity aroma and moderate acidity. Adds a tart complexity to any beer.  This yeast is highly attenuative when left for long periods of time but tends to ferment slowly.  Typically best used in combination with faster fermenting yeast in the primary or added to the secondary to add complexity while aging.,Final pH– 3.7 (32X acidification),
GB002,Tart Cherry Brett,Brettanomyces,GigaYeast,68,80,79,79,,6.5,"Produces some Brett Barnyard funk plus stone fruit and cherry-like esters.  This Strain also produces a moderate amount of acid that adds a tart complexity to the brew.  This yeast is highly attenuative but tends to ferment about ½ as fast as a typical ale strain.  Although it attenuates faster than GB001, it is typically best used in combination with faster fermenting yeast in the primary or added to the secondary to add complexity while aging.",Final pH– 3.7 (32X acidification),
GB144,Sweet Flemish Brett,Brettanomyces,GigaYeast,68,75,83,84,,5.1,"Tasting Notes:  Produces a sweet, slightly fruity profile with just a hint of barnyard and spicy phenolics  Brew with GB144 on it’s own to make an all brett beer, in a primary fermentation with an ale yeast for a complex blended profile or in a secondary to add character during aging.",,
OLY-211,Bit O' Funk,Brettanomyces,Omega,68,80,85,100,Very Low,11,for development of moderate “funk” during a secondary fermentation. The “bit ‘o funkiness” will take extended time (3+ months) to develop.,,
OYL-218,All The Bretts,Brettanomyces,Omega,68,85,85,100,Low,11,"An evolving blend of nearly every Brett in our collection. Use in secondary and expect high attenuation and a fruity and funky complexity that continues to develop over time. This is the inaugural edition of the evolving blend, packed with 12 Brettanomyces strains.",,
W15,W15 Suburban Brett,Brettanomyces,Imperial Yeast,64,74,75,80,Low,,Suburban Brett is Brettanomyces yeast that works great as a secondary aging strain. It really shines when used in wood barrels and will produce complex and balanced aromas of sour cherry and dried fruit.  It can also be used for as a primary strain for brett only beers,"Brett beers, wood barrel fermented beers",
WLP-648,Bettanomyces bruxellensis Trois Vrai,Brettanomyces,White Labs,70,85,85,85,Low,12,"The vrai (“true” in French) Brettanomyces bruxellensis Trois. This infamous strain, used for all Brettanomyces fermentations, has a robust, complex sour character with aromas of pear. Best used as a primary fermentation strain.","Flanders Brown, Geuze, Gose, Lambic",
WLP644,Brettanomyces bruxellensis Trois,Brettanomyces,White Labs,70,85,85,100,Low,12,"This Belgian strain, used traditionally for 100% Brettanomyces fermentations, produces a slightly tart beer with delicate characteristics of mango and pineapple. Can also be used to produce effervescence when bottle-conditioning. Brewery source: Drie Fonteinen","Flanders Brown, Flanders Red, Geuze, Gose, Lambic",
WLP645,Brettanomyces claussenii,Brettanomyces,White Labs,85,85,70,85,Low,12,"Originally isolated from strong English stock beer in the early 20th century, this yeast has low-intensity Brettanomyces character and is closely related to Brettanomyces anomalus. It produces more fruity, pineapple-like aroma than flavor; the Brettanomyces flavors are more subtle than WLP650 and WLP653.","Berliner Weisse, Flanders Brown, Flanders Red, Geuze, Gose, Lambic",
WLP650,Brettanomyces bruxellensis,Brettanomyces,White Labs,85,85,85,85,Low,12,A classic strain used during secondary fermentation for Belgian-style beers and lambics that creates medium-intensity Brettanomyces character. A historic brewery in Belgium uses this yeast in secondary fermentation and bottling to produce the signature flavor of its beer. Brewery source: Orval,"Flanders Brown, Flanders Red, Geuze, Gose, Lambic",
WLP653,Brettanomyces lambicus,Brettanomyces,White Labs,85,85,70,85,Low,12,"This yeast has high-intensity Brettanomyces character, and defines the “Brettanomyces character” of horsey, smoky and spicy flavors. As the name suggests, this strain is found most often in lambic style beers. Also found in Flanders and sour brown ales.","Flanders Brown, Flanders Red, Geuze, Gose, Lambic",
WY5112,Brettanomyces bruxellensis,Brettanomyces,Wyeast,60,75,85,100,Medium,12,"This strain of wild yeast was isolated from brewery cultures in the Brussels region of Belgium. It produces the classic “sweaty horse blanket” character of indigenous beers such as gueuze, lambics and sour browns and may form a pellicle in bottles or casks. The strain is generally used in conjunction with S. cerevisiae, as well as other wild yeast and lactic bacteria. At least 3-6 months aging is generally required for flavor to fully develop.","Flanders Red Ale, Fruit Lambic, Gueuze, Straight (Unblended) Lambic",WLP650? (http://funkfactorybrewing.blogspot.com/2013/06/brett-strain-guide.html suggests not)
WY5151,PC Brettanomyces claussenii,Brettanomyces,Wyeast,60,75,80,80,Low,12,"Isolated from English stock ale, this wild yeast produces a mild “Brett” character with overtones of tropical fruit and pineapple. B. clausenii can be used as a primary strain; however it is typically inoculated in conjunction with other yeasts and lactic acid bacteria. A pellicle may develop in bottles or casks during conditioning. B. clausenii can be used as a primary strain; however it is typically inoculated in conjunction with other yeasts and lactic acid bacteria. A pellicle may develop in bottles or casks during conditioning.","Lambics, Geuze, Fruit Lambic, Flanders Red Ale ", 
WY5526,Brettanomyces lambicus,Brettanomyces,Wyeast,60,75,85,100,Medium,12,"This is a wild yeast strain isolated from Belgian lambic beers. It produces a pie cherry-like flavor and sourness along with distinct “Brett” character. A pellicle may form in bottles or casks. To produce the classic Belgian character, this strain works best in conjunction with other yeast and lactic bacteria. It generally requires 3-6 months of aging to fully develop flavor characteristics. ","Lambic, Gueze, Fruit Lambic, Flanders Read Ale, Brett Beers, Oud Bruin, Mixed-Fermentation Sour Beer, Wild Specialty Beer, Berliner Weisse",WLP653?
,B. intermedius,Brettanomyces,East Coast Yeast,,,,,,,"Brewery Source: Beer - Adelaide, Australia?",,
GB110,GigaYeast Lacto,Lactobacillus,GigaYeast,68,98,15,40,,," Pronounced Sourness. Creates a modest amount of CO2 and EtOH. Lactic Acid Bacteria are inhibited by hops, high gravity and low temperatures.  You can adjust sourness by increasing or decreasing these variables.  More than 7 IBU, gravity above 1050 or temps below 65 F will increase the time to sour or lead to reduced overall souring. We recommend brewing with GB110 in one of three ways.  I)  “Hot Start”:  Pitch GB110 to wort at 98 F with little or no hops for 48-72 hrs.  Wort may be soured before kettle boil or after.  If soured before kettle boil,  boil with hop additions as usual.  If soured after kettle boil cool wort and pitch yeast.  II)  “Co-Pitch”:  Pitch GB110 into a primary with yeast of your choice at 68-72 F.  Wort that is less than 1050 and 7 IBU will typically be very sour in 2-3 weeks.    III)  “Secondary”:  Pitch GB110 after primary fermentation for an aged sour.  Souring by this method typically requires several months.  Adding simple sugars or fruit etc. will enhance souring in the secondary.",,
OLY-605,Lactobacillus Blend,Lactobacillus,Omega,68,95,,,,," It sours efficiently at lower temperatures (65F-100F) compared to other lactobacillus species. To use the blend for kettle souring a 5 gallon batch, prepare a 1 liter starter of approximately 1.040 specific gravity and pour contents of pouch into unhopped starter. Incubate 24-48 hours at room temperature to increase cell count. Prepare wort as normal and cool to 75-95F. Pitch lactobacillus starter into unhopped wort and allow to sour to desired level. Maximum levels of sourness should develop within 48 hours. There is no need to hold the temperatures at the high end of the range for effective souring due to the efficient action of plantarum at lower temperatures. When desired sourness is achieved, re-boil wort to kill lactobacillus.  Add hops at this time if desired.  This blend is extremely hop sensitive.  Souring may not occur in worts with 2 or more IBUs.  Cool wort and pitch yeast to complete fermentation. Brewery Source: The lactobacillus plantarum strain was isolated in collaboration with Marz Community Brewing from a starter inoculated with whole malt grains. ",,
WLP672,Lactobacillus brevis,Lactobacillus,White Labs,,,80,80,Low ,10,"This is a rod-shaped Lactobacillus bacteria used for souring beers. Typically producing more lactic acid than Lactobacillus delbrueckii, it is a great addition to any sour program. Recommended usage below 107°F (40°C).","Berliner Weisse, Flanders Brown, Flanders Red, Geuze, Gose, Lambic",
WY5223-PC,Lactobacillus brevis,Lactobacillus,Wyeast,60,95,,,Low,9,"Unlike most lactic acid bacteria used in brewing, Lactobacillus brevis will tolerate higher levels of IBUs in wort. 5223 will produce alcohol along with lactic acid during fermentation. Excellent for remixing the profile in a Lambic-style or Flanders Red Ale, or for kettle souring wort for a balanced Berliner Weisse","Lambic, Gueze, Fruit Lambic, Flanders Read Ale, Berliner Weisse, Oud Bruin, Mixed-Fermentation Sour Beer, Wild Specialty Beer",
ECY15,Munich Festbier,Lager,East Coast Yeast,46,54,70,75,,,"From one of the oldest breweries in Munich, this pure strain is recommended for many German lagers such as Helles, Dunkel, and Oktoberfest. May be Hacker-Pschorr.","Helles, Dunkel, Oktoberfest",
ECY21,Kölschbier,Lager,East Coast Yeast,58,66,75,78,,,"Produces a clean lager-like profile at ale temperatures. Smooth mineral and malt characters come through with a clean, lightly yeasty flavor and aroma in the finish",Kolsch,
ECY22,Baltic Lager,Lager,East Coast Yeast,46,54,75,78,,,"This lager yeast imparts a smooth, rich, almost creamy character emphasizing full malt flavor and clean finish. Well suited for Bocks, Dortmunder export and Baltic porter. New version has large enough cell count to be directly pitched into your lager brew, no starter necessary!",,
ECY28,Kellerbier,Lager,East Coast Yeast,46,54,74,76,,,"This yeast exhibits a clean, crisp lager in traditional northern German character. Use in German Pilsners including Kellerbier. ",,
GY002,Czech Pilsner,Lager,GigaYeast,48,55,52,79,Medium-High,7.5,"Bottom fermenting yeast from a world famous Czech pilsner.  Produces a dry, clean beer.   Perfect for pilsner and other lager styles.  This yeast is flocculent and produces a very clear beer.  Robust attenuation in beer up to 16-17˚ Plato.  Moderate to poor attenuation in very high gravity beers (over 20˚ Plato).","Pilsners, Lagers",
GY005,Golden Gate Lager,Lager,GigaYeast,55,70,57,83,Medium,8.1,"Lager yeast used to create the California Common beer style.  Ferments unusually high for a lager strain and still retains a lager sensibility (up to 68˚F).  This yeast leaves a slightly sweeter beer than our other lager yeast— perfect for creating a subtle, malty undertone against a clean lager background.  Creates a moderate amount of sulfide under some conditions that will dissipate with a short rest.  Fermentations at traditional lager temperatures may be slow.  Recommended 55˚- 68˚F.","California Common, Cream Ale, Stout",
GY030,American Lager ,Lager,GigaYeast,48,60,72,83,Medium,10.1,"Think you don’t like American Lager?  Think again.  This yeast is a powerful attenuator that creates a dry lager with a slightly fruity finish and very little sulfide and diacetyl.  Perfect for lager styles where you desire a dry, less malty finish.     ","Lager Styles, Pilsner Styles, Imperial Pilsner, Black Lager, Schwarzbier",
GY045,German Lager,Lager,GigaYeast,50,60,58,78,Medium-Low,8.3,"Bottom fermenting German yeast used in commercial breweries around the world.  Produces a slightly sweeter but clean beer with a malty finish.   Perfect for pilsners, märzen, Festbier etc .  May require a diacetyl rest after fermentation.","Lagers, Marzen, Bock, Keller Bier, Schwarzbier, Pilsners",
L05,L05 Cablecar,Lager,Imperial Yeast,55,65,71,75,Medium-High,,"This strain is for fermenting your “California Common” beer. Cablecar can produce clean pseudo lagers at ale temperatures, but is also willing to work as a traditional lager strain down to the mid 50s",California Common and clean pseudo lagers at ale temperatures,
L13,L13 Global,Lager,Imperial Yeast,46,56,73,77,Medium-Low,,"The world’s most popular lager strain is ready for you. Global is an all-around solid lager strain that produces clean beers with a very low ester profile. This strain is very powdery, so long lagering times or filtration is required for bright beer",,
L17,L17 Harvest,Lager,Imperial Yeast,50,60,70,74,Medium,,This strain combines good flocculation characteristics with low sulfur and low diacetyl. Clean fermentation.," bock, helles, pilsner, dunkles, and just about any other lager style you throw its way.",
L28,L28 Urkel,Lager,Imperial Yeast,52,58,71,75,Medium,,"A traditional Czech lager strain, Urkel allows for a nice balance between hops and malt. This strain can be slightly sulphery during fermentation, but it cleans up during lagering. Fermentation at the higher end of the range will produce a beer with minimal sulfur and a light ester profile.",,
Lager,Lager,Lager,Brewferm,50,59,,,High,,"For 20L of wort.  Rehydrate in 100ml of 30C water, wait 10 min, stir gently and add to wort.","German pilsner, Bohemian Pilsner, Marzen, American Pilsner, Vienna Lager, Bock, Helles, Czech Pale Lager, American Light Lager, Dortmunder Export, International Pale Lager, Blonde Ale, Dark American Lager, Internatlonal Amber lager, California Common, American Pale Ale, Light American Lager, Munich Dunkel, Brown Porter, Schwarzbier",
M84,Bohemian Lager,Lager,Mangrove Jack,50,59,85,100,High,,"A bottom-fermenting lager strain suitable for European lager and pilsner style beers. This yeast will produce soft, delicate and balanced beers with a dry and clean palate.","German / Bohemian Pilsners, all lager styles, German bocks and more",
OLY-114,Bayern Lager,Lager,Omega,51,62,72,76,Medium,9,"Thought to come from Munich’s oldest, traditional and vintage-vibed brewery. This clean, crisp, lager strain ferments well at a wide range, has good flocculation, and has both low sulfur and low diacetyl production.",,
S-189,Saflager S-189,Lager,Fermentis,48,59,73,77,Low ,10,Fermentis Saflager S-189 originated from the Hürlimann brewery in Switzerland. This lager strain’s attenuation profile allows to brew a wide range of lager and pilsen beers.,"Lagers, Pilsners, Bocks","WLP885, Weihenstephan-195"
S-23,Saflager S-23,Lager,Fermentis,48,59,,,High,10,Characteristically of this yeast is its high fermentation rate until final attenuation. During fermentation the formation of the diacetyl precursor is low; it is degraded at the end of the fermentation. Brewery source: VLB-Berlin Rh Strain,"Oktoberfest/Märzen, Vienna Lager, Baltic Porter, California Common Beer, Christmas/Winter Specialty Spiced Beer, Cream Ale, Other Smoked Beer, Premium American Lager, Spice, Herb, or Vegetable Beer.",
W-34/70,Saflager W-34/70,Lager,Fermentis,48,59,73,77,High,10,"An excellent property of dry brewing yeast is that they have a very high cell count, they store well (years) and the yeast are packed with nutrient reserves which allow for fast starts. When brewing lagers, the vast majority of yeast strains are liquid yeast strains, requiring large starters for lager beers. Liquid yeasts contain a much lower cell count and lack the nutrient reserves that the dried yeast strains hold. For this reason it is nice that there are a few dried lager yeasts available to home brewers. Here is a review of Saflager W-34/70, a very popular (worldwide) German lager yeast strain. Brewery source:Weihenstephan 34/70","German lagers, pilsners","WLP830, WL2124"
WLP800,Pilsner Lager Yeast:,Lager,White Labs,50,55,72,77,Medium-High,10,"A classic pilsner strain from the Czech Republic. Somewhat dry with a malty finish, this yeast is best suited for European pilsner production. Brewery source: Pilsner Urquell","American Lager, American Light Lager, Bock, Bohemian Pilsner, Doppelbock, Marzen, Munchen Helles, Munchner Dunkel, Schwarzbier, Vienna Lager",WY2001
WLP802,Czech Budejovice Lager Yeast,Lager,White Labs,50,55,75,80,Medium,10,A pilsner lager yeast from southern Czech Republic. Produces dry and crisp lagers with low diacetyl production. Brewery source: Samsons,"American Lager, American Light Lager, Bock, Bohemian Pilsner, Doppelbock, Marzen, Munchen Helles, Munchner Dunkel, Schwarzbier, Vienna Lager",
WLP810,San Francisco Lager Yeast,Lager,White Labs,58,65,65,70,High,12,"This yeast is used to produce the “California Common” style beer. A unique lager strain, it has the ability to ferment up to 65°F (18°C) while retaining lager characteristics. Can also be fermented down to 50°F (10°C) to produce märzens, pilsners and other style lagers. Brewery source: Anchor Brewing (Anchor Steam)","American Lager, American Light Lager, Bock, Bohemian Pilsner, Doppelbock, Marzen, Munchen Helles, Munchner Dunkel, Schwarzbier, Vienna Lager",WY2112
WLP820,Oktoberfest/Märzen Lager Yeast,Lager,White Labs,52,58,65,73,Medium,12,"This yeast produces a very malty, bock-like beer. It does not finish as dry as WLP830. It’s much slower in the first generation than WLP830, so we encourage using a larger starter during the first generation or scheduling a longer lagering time. Brewery source: Weihenstephan 206","American Lager, American Light Lager, Bock, Bohemian Pilsner, Doppelbock, Marzen, Munchen Helles, Munchner Dunkel, Schwarzbier, Vienna Lager",
WLP830,German Lager Yeast,Lager,White Labs,50,55,74,79,Medium,10,"Our most popular lager yeast, this is one of the most widely used lager strains in the world. Very malty and clean, and great for all German lagers, pilsners, Oktoberfests, and märzens. Brewery source: 34/70","American Lager, American Light Lager, Bock, Bohemian Pilsner, Doppelbock, Marzen, Munchen Helles, Munchner Dunkel, Schwarzbier, Vienna Lager","WY2124, W-34/70"
WLP835,German Lager X,Lager,White Labs,50,54,70,76,Medium,12,"This strain develops a creamy, malty beer profile with low sulfur production and low esters. Brewery source: famous Bavarian monastery","traditional Helles, Oktoberfest, Bock, and Dunkel",
WLP838,Southern German Lager Yeast,Lager,White Labs,50,55,68,76,Medium-High,10,This yeast is characterized by a malty finish and balanced aroma. It is a strong fermenter that produces slight sulfur and low diacetyl.,"American Lager, American Light Lager, Bock, Bohemian Pilsner, Doppelbock, Marzen, Munchen Helles, Munchner Dunkel, Schwarzbier, Vienna Lager",WY2308
WLP840,American Lager Yeast,Lager,White Labs,50,55,75,80,Medium,10,This yeast is used to produce American style lagers. Dry and clean with a very slight apple fruitiness. Sulfur and diacetyl production is minimal. Brewery source: Budweiser,"American Lager, American Light Lager, Bock, Bohemian Pilsner, Marzen, Munchen Helles, Munchner Dunkel, Schwarzbier, Vienna Lager",WY2007
WLP850,Copenhagen Lager Yeast,Lager,White Labs,50,58,72,78,Medium,10,"Clean, crisp north European lager yeast. Not as malty as the southern European lager yeast strains.","Great for European style pilsners, European style dark lagers, Vienna, and American style lagers. ",WY2042
WLP862,Cry Havoc ,Lager,White Labs,,,66,70,,10,"Licensed from Charlie Papazian, this strain can ferment at both ale and lager temperatures, allowing brewers to produce diverse beer styles. The recipes in both Papazian’s books, The Complete Joy of Homebrewing and The Homebrewer’s Companion, were originally developed and brewed with this yeast. Med/Low Flocculation: Ferment: 68-74/Cellar: 50-55. Low Flocculation: Ferment: 55-58/Lager: 32-37","American Lager, American Light Lager, Bock, Bohemian Pilsner, Doppelbock, Marzen, Munchen Helles, Munchner Dunkel, Schwarzbier, Vienna Lager",
WLP885,Zurich Lager Yeast ,Lager,White Labs,50,55,70,80,High,15,A Swiss-style lager yeast that with proper care can be used to produce lagers over 11% ABV. Sulfur and diacetyl production is minimal. Brewery source: Hürlimann,"American Lager, American Light Lager, Bock, Bohemian Pilsner, Doppelbock, Marzen, Munchen Helles, Munchner Dunkel, Schwarzbier, Vienna Lager","S-189, Weihenstephan-195"
WLP920,Old Bavarian Lager ,Lager,White Labs,50,55,66,73,Medium,12,"From Southern Germany, this yeast finishes malty with a slight ester profile.","Use in beers such as Oktoberfest, Bock, and Dark Lagers. ",
WLP940,Mexican Lager Yeast,Lager,White Labs,50,55,70,78,Medium,10,"From Mexico City, this yeast produces clean lager beer, with a crisp finish. Good for Mexican style light lagers, as well as dark lagers. Brewery source: Grupo Modelo","American Lager, American Light Lager, Bock, Bohemian Pilsner, Doppelbock, Marzen, Munchen Helles, Munchner Dunkel, Schwarzbier, Vienna Lager",
WY2000-PC,Budvar Lager,Lager,Wyeast,48,56,71,75,Medium-High,9,"The Budvar strain has a nice malty nose with subtle fruit tones and a rich malt profile on the palate. It finishes malty but dry, well balanced and crisp. Hop character comes through in the finish. Brewery source: Budvar","Bohemian Pilsner, Classic American Pilsner, Dortmunder Export, Lite American Lager",
WY2001-PC,Urquell Lager,Lager,Wyeast,48,56,72,76,Medium-High,9,With a mild fruit and floral aroma this strain has a very dry and clean palate with a full mouthfeel and nice subtle malt character. It has a very clean and neutral finish. Brewery source: Pilsner Urquell lager H-strain,   Bohemian Pilsner,WLP800
WY2002-PC,Gambrinus Lager,Lager,Wyeast,46,56,71,75,Medium-High,9,"Very mild floral aroma, nice lager character in nose. Malt dominates profile with subtle floral/fruit notes. Full, complex flavor profile with full mouth feel. Finishes soft and smooth with nice lingering maltiness. Brewery source: Gambrinus Lager H-strain","Classic Rauchbier, Doppelbock, Dortmunder Export, Eisbock, Maibock/Helles Bock, Munich Dunkel, Munich Helles, Oktoberfest/Märzen, Schwarzbier (Black Beer), Traditional Bock, Vienna Lager",
WY2007,Pilsen Lager,Lager,Wyeast,48,56,71,75,Medium,9,"Wyeast 2007 is the classic American lager strain. This mild, neutral strain produces beers with a nice malty character and a smooth palate. It ferments dry and crisp with minimal sulfur or diacetyl. Beers from this strain exhibit the characteristics of the most popular lager in America. Brewery source: Budweiser","Classic American Pilsner, Dark American Lager, German Pilsner (Pils), Lite American Lager, Premium American Lager, Schwarzbier (Black Beer), Standard American Lager",WLP840
WY2035-PC,American Lager,Lager,Wyeast,48,58,73,77,Medium,9,A complex and aromatic strain that can be used for a variety of lager beers. This strain is an excellent choice for Classic American Pilsner beers. Brewery source: August Schell,"Classic American Pilsner, Dark American Lager, Lite American Lager, Premium American Lager, Standard American Lager",
WY2042-PC,Danish Lager,Lager,Wyeast,46,56,73,77,Low,9,"This yeast is a good choice for Dortmund-style lagers. It will ferment crisp and dry with a soft, rounded profile that accentuates hop characteristics. Brewery source: Miller via Carlsberg","Classic American Pilsner, Dark American Lager, Dortmunder Export, Lite American Lager, Munich Helles, Premium American Lager, Standard American Lager",WLP850
