Grain,Origin,Type,Manufacturer ,Must Mash?,"Color Low 
(Lovibond)","Lovibond_High 
(Lovibond)",SRM_Low,SRM_High,Power,Protein Total,Extract FG Min,Potential,% Moisture,Usage Max,Description,Source
Patagonia Dark Chocolate 450L,Chile,Roasted Malt,Patagonia,No,450,450,608.81,608.81,,12.5,65,1.0300365,4,10,"Patagonia’s Dark Chocolate 450L adds complex flavors and aromas are its characteristic. Great for Stouts, Bocks, Porters, Brown Ales and anything that you call “dark”.",https://bsgcraftbrewing.com/craftbrewing-malt-patagonia-roasted-dark-malts
Patagonia Perla Negra (Black Pearl) 340L,Chile,Roasted Malt,Patagonia,No,340,340,459.804,459.804,,12.5,65,1.0300365,5,15,"Through a specialized process, the husk is completely removed and the grain gently toasted to develop flavors and aromas with less bitterness and astringency.  It features a Low roast taste with mild bitterness with mellow chocolate notes mixed with coffee and nuts. Free from intense acrid flavor, phenolic, bitterness and astringency typical of toasted barley, this is a very unique specialty malt that has huge potential. Perfect for any dark beers, but especially Stouts, Porters, Black IPA’s, and even Bocks and Oktoberfest Märzen style beers.",https://bsgcraftbrewing.com/craftbrewing-malt-patagonia-roasted-dark-malts
Rahr Old World Pilsner,United States,Base,Rahr,Yes,1.5,2,1.2719,1.9492,,12-Nov,79,1.0365059,4,100,"Rahr Old World Pilsner is special because it doesn't germinate as quickly as other domestic two-rows which means that more of the insoluble protein is left in the kernel. In this, the malt is giving up some extract but delivers greater flavor, yeast nutrients, and some beer foam stability in return. Also, this malt is lower in DP which means that when step-mashing some starch will convert in the higher temperature range.",
Rahr Pale Ale,United States,Base,Rahr,Yes,3,4,3.3038,4.6584,,12,79,1.0365059,4.5,100,"Rahr Pale Ale is an American, ale-style base malt made from a blend of Harrington and Metcalf barley. It has an excellent color, slightly darker than Rahr Standard or Pilsner malts, good malt flavor, and high extract yield. Well suited to American, English or continental ales, Rahr Pale Ale has become a popular base malt for almost any style of beer.",
Rahr Premium Pilsner,United States,Base,Rahr,Yes,1.5,2,1.2719,1.9492,,11.5,80,1.036968,4,100,"Rahr Premium Pilsner is an American, lager-style base malt made from 2-row Harrington barley. Its light color, neutral flavor, and low protein content make Premium Pilsner an excellent choice for brewing clear, clean-tasting lagers.",
Rahr Standard 2-Row ,United States,Base,Rahr,Yes,1.7,2,1.54282,1.9492,,12-Nov,80,1.036968,4,100,"Rahr Standard 2-Row is a light-colored base malt made from a blend of American 2-Row barley varieties. It is darker than most lager malts, but lighter than most pale ale malts. It has moderate protein levels, and good extract yield. Its neutral characteristics make it extremely versatile, and it is widely used by American craft breweries as their standard base malt for any beer style.",
Rahr Standard 6- Row,United States,Base,Rahr,Yes,2.1,2.5,2.08466,2.6265,,15,79,1.0365059,4.2,100,"Rahr Standard 6-Row is a light-colored base malt made from a blend of American 6-Row barley varieties. 6-row barley has a much higher protein content and enzymatic power than 2-row barley. Inclusion of Standard 6-Row is therefore very advantageous for recipes calling for large proportions of specialty malts, wheat malts, or adjuncts, which have little or no enzymatic power themselves. 6-row barley is also used to match historical beer styles from settings where 2-row barley was not widely available. High proportions of 6-row barley may necessitate the use of adjuncts or require protein rests in mashing.",
Rahr Red Wheat,United States,Specialty,Rahr,Yes,3,3.5,3.3038,3.9811,,12,85,1.0392785,4.5,50,"Rahr Red Wheat is a pale wheat malt made from North American hard spring red wheat. Pale wheat malt has the sweet malty flavor of other malted grains, but with a hint of fruitiness. Wheat malts are high in protein, which helps produce fuller-bodied beers. Wheat malt can improve head formation and retention, depending upon the other grist constituents. Red wheat has a slight tartness to its flavor not present in white wheat. It also has smaller, harder kernels than white wheat, which can require careful milling. Rahr Red Wheat is suitable for all wheat-style beers.",
Rahr Unmalted Wheat,United States,Specialty,Rahr,Yes,1.5,4,1.2719,4.6584,,11.5,,1,12,50,"Rahr Unmalted Wheat is a raw wheat grain. Unmalted Wheat has a strong grain flavor, and a very light straw color. It is used in many traditional Belgian styles to add flavor and cloudiness, and improve head formation. The starch in raw grain is not gelatinized and the protein content is high. Depending upon use, a cereal mash and/or protein rest may be required.",
Rahr White Wheat,United States,Specialty,Rahr,Yes,3,3.5,3.3038,3.9811,120,12,85,1.0392785,4.5,50,"We bring you this domestic wheat malt from Rahr Maltings, in Shakopee MN. It is a great base malt for any style wheat beer. It has a doughy, malty, bready flavor and aroma, with white wheat having a slightly milder wheat flavor than red wheat. High protein levels in wheat lend a fullness of body and excellent head retention, but can lead to difficulty sparging. Use small amounts to enhance foam, or use up to 50% of the grist. We recommend incorporating rice hulls to prevent a stuck sparge when using greater than 25%",http://www.northernbrewer.com/rahr-white-wheat-malt
Pilsner (2 Row) German,Germany,Base,Salzgitter,Yes,1.5,2.1,1.2719,2.08466,<250WK,11.5,83,1.0383543,8.5,100,"Bright, clean, full-bodied character. Ideal for any European lager style and indispensable for pale lagers like Helles or pils. Suitable for single infusion malt, but many folks swear by the protein rest!",http://www.northernbrewer.com/german-pilsner-malt
Best Pale Ale Malt,United Kingdom,Base,Simpson's,Yes,2.2,3,2.22012,3.3038,75,9.69,80.5,1.03719905,3.7,100,"For the principal ingredient in keg, bottle or cask ales, we use top quality UK two-row barley to produce a plump, well-modified malt with good extract and enzymic activity. The versatility of this base malt lends itself to balance hoppy beers and provides a robust malty note to a Traditional Bitter or Belgian-style beer",https://www.simpsonsmalt.co.uk/our-malts/best-pale-ale-malt/
Extra Pale Ale Malt,United Kingdom,Base,Simpson's,Yes,1.5,2.2,1.2719,2.22012,75,10,80.5,1.03719905,3.7,100,"Extra Pale Ale Malt is an excellent base malt for Brewers who require a low colour, well modified malt. The plump grains of UK two-row barley ensure uniformity and consistency, as well as good extract and enzymic activity. If you’re limited on base malt storage, Extra Pale Ale Malt doubles as a great light-coloured base for both Lagers and Ales.",
Finest Lager Malt,United Kingdom,Base,Simpson's,Yes,1.3,2.1,1.00098,2.08466,75,11.25,81,1.0374301,4.5,100,"use up to 95% for amber and dark lagers, belgian tripel and bocks, up to 100% for pilsner.  Finest Lager Malt is a superb low colour lager malt. Well modified, high extract UK spring two row barley give high enzymic activity, low colour, low nitrogen, and exceptional Brewhouse performance. It can be used to make any style of lager with its clean, light malty taste.",https://www.simpsonsmalt.co.uk/our-malts/finest-lager-malt/
Finest Pale Ale Maris Otter®,United Kingdom,Base,Simpson's,Yes,2.2,3,2.22012,3.3038,75 L,ST=40-44,81,1.0374301,3.7,100,"A principal ingredient of ales, using heritage barleys.  Maris Otter® is a standard when making UK style ales, but it has become a go-to base malt for many American style ales as well.",https://www.simpsonsmalt.co.uk/our-malts/finest-pale-ale-maris-otter/
Golden Promise™,United Kingdom,Base,Simpson's,Yes,1.9,2.4,1.81374,2.49104,75 L,ST= 40-44,81,1.0374301,3.7,100,"Great base malt that produces a sweet and clean wort. An integral ingredient in Scottish ales and lagers.  Simpsons Golden Promise™ pale malt, made from the eponymous spring barley variety, is a UK classic. Historically the Scottish analog to English Maris Otter malts, Golden Promise™ is well used in any English or Scottish style ale. The sweet, robust malt flavor of Golden Promise™ has also made it a choice base malt for American IPAs, lagers, and several famous whiskeys.",https://www.simpsonsmalt.co.uk/our-malts/finest-pale-ale-golden-promise/
Low Color Maris Otter,United Kingdom,Base,Simpson's,Yes,1.3,2.1,1.00098,2.08466,75,9.69,80.5,1.03719905,3.7,100,"If you need a well modified, high performing malt with a low colour, then Low Colour Maris Otter is the perfect choice. This heritage barley variety is used to produce an exceptional quality base malt, with a high extract and enzymic activity and low nitrogen content. Low Colour Maris Otter is kilned at a low temperature, making it perfect for Cask IPAs and Light Coloured Ales.",https://www.simpsonsmalt.co.uk/our-malts/low-colour-maris-otter/
Amber Malt,United Kingdom,Color,Simpson's,Yes,20.8,27.2,27.41568,36.08512,,,69,1.0318849,5,20,"Perhaps the most versatile of all our roasted products, Simpsons’ Amber Malt can be used in a wide variety of beers to add biscuity toasty notes and a beautiful brown hue. Its delicate roast flavour makes it suitable for adding toasty notes to all Dark Beers, as well as lighter Ales and Lagers. Amber Malt brings a clean, crisp dryness to balance delicate floral hops and increases foam stability.",https://www.simpsonsmalt.co.uk/our-malts/amber-malt/
Aromatic Malt,United Kingdom,Color,Simpson's,Yes,19.3,26.3,25.38378,34.86598,,,70,1.032347,5,50,"Up to 10% Produces a Honey Flavour in Beer, Up to 20% gives Raisin Notes, Up to 50% in Mild, Porters and Bocks Bocks enhances Malty/Fruity Notes.  The secret weapon in the British Ale Brewer’s arsenal, our aromatic malt has a slightly higher acidity to balance pH. Its complex sweetness with sour after-notes gives a magnificent mouthfeel. This, combined with intense malty notes and raisin, makes our Aromatic Malt a versatile product that can be used from as little as 5% to give warm honey aromas and up to 50% as a base malt for Dark Beers to give raisin and plum notes. Brings a beautiful brown depth of colour",https://www.simpsonsmalt.co.uk/our-malts/aromatic-malt/
Cornish Gold,United Kingdom,Color,Simpson's,Yes,7.3,9.9,9.12858,12.65054,25,11.25,80,1.036968,4,100,"5-15% for light beers and up to 100% for dark beers. Made from 100% Cornish grown, two-row spring barley, our Cornish Gold brings rich malty flavours and golden hues to light beers. An excellent base malt for Strong Bitter, Dark Amber Ales, Brown Ales and Milds. Cornish Gold brings intense colour and malty notes, without compromising enzymic action. This malt provides a fantastic malty base for British Ales and Bitters.",
Imperial Malt ,United Kingdom,Color,Simpson's,Yes,15.6,19.3,20.37176,25.38378,,,75,1.0346575,3.5,80,"Up to 20% in Light Ales to enhance flavour, Up to 50% in Brown Ales & Porters, Up to 80% in Dark Beers & Stouts, Our Imperial Malt imparts a full-bodied flavour and biscuit aroma. The warm brown notes it adds to the wort intensify the depth of colour, without compromising enzymic activity.",https://www.simpsonsmalt.co.uk/our-malts/imperial-malt/
Munich Malt,United Kingdom,Color,Simpson's,Yes,7.3,9.9,9.12858,12.65054,,11.25,80,1.036968,4,100,"5-15% usage for light beers and up to 100% for dark beers.  Our Munich malt brings rich malty flavours and golden hues to light beers. If you’re struggling to bring up the mouthfeel in really hoppy keg beers, try adding a generous proportion of Munich malt to your grist. An excellent base malt for Strong Bitter, Dark Amber Ales, Brown Ales and Milds. Munich Malt brings intense colour and malty notes, without compromising enzymic action. Despite its continental name, this malt provides a fantastic malty base for British Ales and Bitters.",https://www.simpsonsmalt.co.uk/our-malts/munich-malt/
Vienna Malt,United Kingdom,Color,Simpson's,Yes,2.4,4.3,2.49104,5.06478,,,75,1.0346575,3.5,100,"Our Vienna malt enhances the light colour, flavour and aroma of all light beers. Light, bready, malty notes bring body to Light Ales,  Bitters and Czech Lagers. Use as a base malt for highly hopped IPA and American Ales to provide great balance and depth.",https://www.simpsonsmalt.co.uk/our-malts/vienna-malt/
British Crystal ,United Kingdom,Crystal,Simpson's,No,50,60,66.97,80.516,0,,,1,3,100,,
"English Crystal, 50-60 L",United Kingdom,Crystal,Simpson's,No,50,60,66.97,80.516,0,,,1,3,100,"Finest malts from the British Isles. Medium crystal malt from the UK is essential to achieving that authentic English flavor in everything from bitters to browns. This versatile English crystal malt imparts a rich gold to copper-red color and complex, slightly fruity, rich caramel flavor. Use it to enhance flavor, aroma, body and foam stability in a wide variety of ales. ",
Heritage Crystal Malt,United Kingdom,Crystal,Simpson's,No,63.2,71.8,84.85072,96.50028,,,69,1.0318849,5,15,"The uniformity and excellent malting characteristics that have ensured Maris Otter has been the favoured barley variety of the British Brewer, also lend themselves to ensuring exceptionally good crystal malt. We’ve hand-crafted this heritage barley variety to produce an outstanding medium crystal that brings flavour and depth of colour to Ales and Bitters.",https://www.simpsonsmalt.co.uk/our-malts/heritage-crystal-malt/
Simpson's DRC®,United Kingdom,Crystal,Simpson's,No,105.6,120.6,142.28576,162.60476,,,69,1.0318849,5,20,"Due to its unique production process, Simpsons’ DRC® can be used to substitute darker roasted malts in Dark Beers where the astringency and bitterness inherent to roast malts is not desired. This means that it can be used at a higher rate in the grist to add complex caramel and dried fruit notes with a beautiful red-brown hue.",https://www.simpsonsmalt.co.uk/our-malts/simpsons-drc/
Roasted Barley,United Kingdom,Roasted,Simpson's,No,488.1,713.1,660.42026,965.20526,0,,62,1.0286502,3,5,"Malt used in typical dry, Irish-style stouts. Coffee bean malt flavor. Roasted Barley is a typical ingredient of dry Irish Stouts. Although the colour specification is very similar to Black Malt, Roasted Barley has an intense roasted coffee flavour that ows a deep, dark colour with flavours to match.",https://www.simpsonsmalt.co.uk/our-malts/roasted-barley/
Black (Patent) Malt,United Kingdom,Roasted Malt,Simpson's,No,538,713.1,728.0148,965.20526,,,69,1.0318849,3,10,"Our Black Malt is excellent for darkening beer colour without imparting too much astringency or roast characteristics. The flavour is surprisingly neutral, with a clean dryness that makes it an incredibly versatile product.  Intense, rich and dark with cocoa or neutral malt flavors for porters, London brown ale, black hoppy beers and black lager",https://www.simpsonsmalt.co.uk/our-malts/black-malt/
Brown Malt,United Kingdom,Roasted Malt,Simpson's,No,161.8,225.6,218.41428,304.83776,,,68.7,1.03174627,4,10,Our Brown Malt imparts a rich coffee aroma ideal for Stouts and Porters. It delivers a smooth mouthfeel as well as increasing foam stability. The hue is a deep mahogany that brings warmth and depth to dark beers. Often a forgotten malt.,https://www.simpsonsmalt.co.uk/our-malts/brown-malt/
Chocolate Malt,United Kingdom,Roasted Malt,Simpson's,No,400.7,488.1,542.02822,660.42026,0,,69,1.0318849,3,10,"Dark malt that gives a rich red or brown color and nutty flavor. Use for: Brown ales, porters, some stouts Maintains some malty flavor, not as dark as roasted malt.  Our Chocolate Malt gives beer a stunning dark brown colour. Chocolate overtones and hints of coffee bring richness and complexity at higher usages in Stouts and Porters",https://www.simpsonsmalt.co.uk/our-malts/chocolate-malt/
Dextrin Malt,United Kingdom,Specialty,Simpson's,No,1,1.2,0.5946,0.86552,,,67.5,1.03119175,7,20,"Up to 5% to improve mouthfeel and foam stability in any beer, 10-20% in dark mild and sweet stout. A handy little tool to keep up your sleeve, Dextrin Malt can be used sparingly to add body, mouthfeel and foam stability to any beer. Particularly useful in very light, hop forward IPAs to balance bitterness, it’s great in lower attenuated sweet beers, such as Mild and Sweet Stout.",https://www.simpsonsmalt.co.uk/our-malts/dextrin-malt/
Peat Smoked Malt,United Kingdom,Specialty,Simpson's,Yes,1.7,2.5,1.54282,2.6265,0,,81.9,1.03784599,5,10,Robust smoky malt that provides a smoky flavor. Used in scottish ales and wee heavy ales.,
Wheat Malt,United Kingdom,Specialty,Simpson's,Yes,1.3,2.8,1.00098,3.03288,,12.9,82.9,1.03830809,5,70,"Wheat malt can be added at 5% to most Light Beers to increase foam stability without affecting haze or flavour. Used at up to 70% as a base malt for Wheat Beer, it imparts a bready flavour and characteristic citrus notes.",https://www.simpsonsmalt.co.uk/our-malts/wheat-malt/
Golden Naked Oats®™,United Kingdom,Specialty/Adjunct,Simpson's,Yes,5.1,9.6,6.14846,12.24416,,,69,1.0318849,7,10,"This huskless oat crystal malt is quite simply delicious. An exotic ingredient for the adventurous brewer, it brings a subtle nutty flavour. Its creaminess brings mouthfeel and balance to strong, hop forward beers. One taste and we’re sure you’ll be inspired to start creating a new recipe. Adds fullness and flavor to oat stouts and specialty beers. Malt flavor is described as nutty, cream and porridge like.",
"Oats, Golden Naked",United Kingdom,Specialty/Adjunct,Simpson's,Yes,5.1,9.6,6.14846,12.24416,0,,,1,7,100,"This huskless oat crystal malt is quite simply delicious. An exotic ingredient for the adventurous brewer, it brings a subtle nutty flavour. Its creaminess brings mouthfeel and balance to strong, hop forward beers. One taste and we’re sure you’ll be inspired to start creating a new recipe.",https://www.simpsonsmalt.co.uk/our-malts/golden-naked-oats-gno/
"Oats, Malted",United Kingdom,Specialty/Adjunct,Simpson's,Yes,1.3,2.1,1.00098,2.08466,,,74,1.0341954,7,20,"Used in oatmeal stouts, porters, pale ales, East Coast style pale ales, double IPAs.  Simpsons Malted Oats have large, thick husks which helps with run off. Once you crack it open, the creaminess of the oats releases a silky smoothness which imparts a sumptuous velvety texture to your beer. This fullness allows it to take as many hops as you can throw at it for a juice bomb, providing balance. In more traditional usage, Malted Oats provide the back bone of creaminess in Oatmeal Stouts and Porters, smoothing the astringency that may result from the heavy use of roasted grains and adding a complexity of flavour. Malted Oats is a hugely versatile product that can be added to any beer style to impart a creamy, velvety smooth mouthfeel.",https://www.simpsonsmalt.co.uk/our-malts/malted-oats/
Rye Malt,United Kingdom,Specialty/Adjunct,Simpson's,Yes,89.4,116.8,120.34124,157.45728,,,65,1.0300365,7,20,,
Wheat Malt,United Kingdom,Specialty/Adjunct,Simpson's,Yes,1.3,2.8,1.00098,3.03288,,,78,1.0360438,4.5,70,,https://www.simpsonsmalt.co.uk/our-malts/malted-rye/
Caramalt,United Kingdom,Crystal,Simpson's ,No,11.8,16.3,15.22428,21.31998,,,71,1.0328091,7.5,20,"5-20% Enhances Colour and Flavour in Lagers, Golden Ales, Brown Ales, Wheat Beer & Bock. Our Caramalt is a sweet, chewy and heavenly malt. It contributes golden-hued colour enhancement and flavour enrichment from its mild toffee notes in Lagers and Extra Pale Ales. Due to its low colour, it’s incredibly versatile and can be used to enhance almost any beer style that needs a little sweetness.",https://www.simpsonsmalt.co.uk/our-malts/caramalt/
Crystal Light ,United Kingdom,Crystal,Simpson's ,No,36.2,42.9,48.27652,57.35234,,,69,1.0318849,6,15,"Our Crystal Light brings mild caramel and toffee flavours to beers, whilst contributing a beautiful golden hue. Its clean, mild sweetness brings depth of flavour where extra body is required, without adding overtly toasted or roasted characters.",https://www.simpsonsmalt.co.uk/our-malts/crystal-light/
Crystal T50™,United Kingdom,Crystal,Simpson's ,No,48,53,64.2608,71.0338,,,69,1.0318849,5,20,The secret to our Crystal T50 is in the name. Each batch targets 50 Lovibond colour (130EBC). The specification on Crystal T50 was created with one of our most acclaimed clients in mind. With an exceptionally tight consistency - it’s a fantastic crystal that crunches in the mouth offering. Crystal T50 provides amazing colour and delicate malty flavours to beer.,https://www.simpsonsmalt.co.uk/our-malts/crystal-t50/
"Crystal, Dark ",United Kingdom,Crystal,Simpson's ,No,94.3,107.5,126.97878,144.8595,0,,69,1.0318849,5,15,"With our Crystal Dark, we get into the delicious realms of complex toffee and burnt sugar, but without the astringency of roasted malt. Our unique roasting process allows us to produce exceptional uniformity in each batch, ensuring each grain of malt is perfectly crystallised",https://www.simpsonsmalt.co.uk/our-malts/crystal-dark/
"Crystal, Extra Dark ",United Kingdom,Crystal,Simpson's ,No,150,165,202.4,222.7,0,,,1,5,10,Very dark English crystal malt with deep amber color and burnt sugar and dark fruit flavors.,
"Crystal, Medium ",United Kingdom,Crystal,Simpson's ,No,63.2,71.8,84.85072,96.50028,0,,69,1.0318849,5,15,"Caramel and toffee notes come to the forefront in our Crystal Medium. Our expert roasters use their skills to bring you a crystal that adds stunning deep golden and red hues to your beer, whilst imparting deeper caramel notes.Versatile English crystal malt imparts a rich gold to copper-red color and caramel flavor and increases foam stability.",https://www.simpsonsmalt.co.uk/our-malts/crystal-medium/
Premium English Caramalt,United Kingdom,Crystal,Simpson's ,No,20.8,25.3,27.41568,33.51138,,,71,1.0328091,3,20,"Premium English Caramalt is our top of the range Cara. Used in Light Coloured Beers, it imparts a deliciously sweet malty flavour without the burnt character that higher colour crystals bring. Excellent for colour adjustment on delicately flavoured Lagers and Ales, Premium English Caramalt gives a slight colour increase. It also works well in highly hopped beer to balance out bitterness and citrus aromas.",https://www.simpsonsmalt.co.uk/our-malts/premium-english-caramalt/
"Pale Malt, Halcyon",United Kingdom,Base,Thomas Fawcett,Yes,2.3,3,2.35558,3.3038,,9.5,80.5,1.03719905,3,100,"A floor-malted barley malt from a single barley variety (Halcyon), and produced by a centuries-old, family-owned maltster. Halcyon Pale Ale Malt is considered to be one of the last remaining traditional English Pale Malts. Adds a degree of biscuit flavor to the beer. Brighter and lighter in flavor than Pearl, Halcyon is a great malt for the production of Real Ales. It tends to produce a less sweet wort than Maris Otter. All the base malts from Thomas Fawcett & Sons are grown by local, family farmers near the maltings area.",https://www.midwestsupplies.com/maillard-malts-fawcett-halcyon-pale-malt
Thomas Fawcett Floor Malted Maris Otter,United Kingdom,Base,Thomas Fawcett,Yes,2.3,3,2.35558,3.3038,120,,80.5,1.03719905,4,100,"Premium base malt from the UK. Popular for many English styles of beer including ales, pale ales and bitters.",
Thomas Fawcett Caramalt,United Kingdom,Crystal,Thomas Fawcett,No,8,12,10.0768,15.4952,,11,77,,7,25,"The Fawcett family has been making malt in Castleford, West Yorkshire, England since the late 1780’s. The company continues today as one of the oldest family controlled and managed business in the UK. Fawcett’s prides itself on malting the finest English and Scottish barley varieties such as Golden Promise, Halcyon, Optic and Pearl as well as traditional, floor malted Maris Otter. Fawcett’s small batch Color, Crystal and Roasted specialty malts are produced from hand selected lots of premium UK barley and are second to none for quality, consistency and selection.",http://www.northernbrewer.com/fawcett-caramalt
Pale Chocolate Malt,United Kingdom,Roasted Malt,Thomas Fawcett,No,180,250,243.068,337.89,0,11,71,1.0328091,4,10," Less highly-roasted than regular chocolate malt. Adds color and a mild chocolate/coffee flavor to dark milds, stouts, and porters.",http://www.northernbrewer.com/fawcett-pale-chocolate-malt
Barke® Munich Malt,Germany,Base,Weyermann,Yes,6.9,8.8,8.58674,11.16048,,,78,1.0360438,4.5,15,"Barke® is a variety with all-round advantages: In the malt and brew houses, it excels because of its large kernel diameter, good kernel homogeneity, good germination potential, superior diastatic power, excellent extract yield, high apparent attenuation, moderate levels of soluble nitrogen, and low beta-glucan values.In the finished beer, Barke® contributes a good body, a rich and deep malt aroma, and a creamy head with good foam stability.",http://www.northernbrewer.com/weyermann-barke-munich-malt
Barke® Pilsner Malt,Germany,Base,Weyermann,Yes,1.5,2.2,1.2719,2.22012,,11.5,80.5,1.03719905,5.5,100,"Weyermann® Barke® Pilsner malt is perfect for creating authentic lager style beers. It enhances body and mouthfeel substantially in the finished beer, while imparting intense malt aromas. What also sets Barke® Pilsner malt apart is it’s excellent process characteristics in the brew-house and during filtration, coupled with increased extract efficiency. Suitable for Pilsners, Bavarian Helles, Lagers of various styles and 'Kellerbier'",https://bsgcraftbrewing.com/weyermann-barke-pilsner-25kg
Barke® Vienna Malt,Germany,Base,Weyermann,Yes,2.8,3.9,3.03288,4.52294,,,79,1.0365059,5.5,100,"Barke® is a variety with all-round advantages: In the malt and brew houses, it excels because of its large kernel diameter, good kernel homogeneity, good germination potential, superior diastatic power, excellent extract yield, high apparent attenuation, moderate levels of soluble nitrogen, and low beta-glucan values.In the finished beer, Barke® contributes a good body, a rich and deep malt aroma, and a creamy head with good foam stability.",http://www.northernbrewer.com/weyermann-barke-vienna-malt
Bohemian Pilsner Malt,Germany,Base,Weyermann,Yes,1.7,2.1,1.54282,2.08466,,10.8,83,1.0383543,4.5,100,"Weyermann® Bohemian Pilsner Malt is a lager-style base malt produced from Czech barley varieties Bojo and Tolar. The Czech-grown grain is processed specifically for Bohemian characteristics to impart a full body, golden-blond color, and complex maltiness to the finished brew. It's perfect for authentic Bohemian pilsners and Belgian ales, but is well-suited to any beer style that requires a solid malt presence.",https://bsgcraftbrewing.com/weyermann-bohemian-pilsner25kg
Extra Pale Premium Pilsner ,Germany,Base,Weyermann,Yes,2,2.5,1.9492,2.6265,110,11.5,80.5,1.03719905,5.5,100,"Weyermann® Premium Pilsner Malt Extra Pale is produced from quality two-row spring barley. It produces authentic Pilsner-style flavors and aromas with extra pale beer color. It is the perfect foundation grist for all extra pale lagers. This product has excellent modification and favorable protein and glucan levels along with excellent lautering properties. It provides finished beer with substantial body and mouthfeel, as well as good foam development and head retention. It is a very flexible grain with high extract efficiency for reliable lager-making in any brew house, including pub ale systems. Weyermann® Premium Pilsner Malt Extra Pale yields optimum results for any process from single-step to multi-step infusion, to decoction. Its flavor is malty-sweet with gentle notes of honey, and it is used for pilsners, non-alcoholic beer, alcohol-reduced beer and all other beer types.",
Floor-Malted Bohemian Dark Malt,Germany,Base,Weyermann,Yes,5,8,6.013,10.0768,,,78,1.0360438,4.5,100,"Floor-Malted Bohemian Dark malt is a kilned, Munich-style specialty malt. It boasts both historical authenticity and superb quality. Bohemian-grown Tolar and Bojos spring barley varieties are expertly floor malted in Weyermann's traditional facility in the Czech Republic. Floor malting gives the malt and earthy, satisfying aroma and intense, malty flavor. Kilning adds a toasty, biscuit aroma to the malt. high proportions of floor-malted grain provide a smooth mouth feel. Floor-Malted Bohemian Dark malt is perfect for historical brews, especially Bohemian dunkel lagers. It is also suitable wherever dark Munich malt is called for, and high-quality ingredients are wanted.",https://www.bellsbeer.com/store/products/Weyermann%C2%AE-Floor%252dMalted-Bohemian-Dark-Malt-%252d-1-lb.html
Floor-Malted Bohemian Pilsner,Germany,Base,Weyermann,Yes,1.6,2.3,1.40736,2.35558,0,,79,1.0365059,5.5,100, This is an exceptional Pilsner malt made in the traditional Bohemian fashion. The malt is raked and turned by hand in a floor-malting facility and given a traditional Bohemian malting schedule. The result is a slightly under-modified malt with unique and complex flavor. A must for a truly outstanding Pilsner beer.,http://www.northernbrewer.com/weyermann-floor-malted-bohemian-pilsner-malt
Pale Ale Malt,Germany,Base,Weyermann,Yes,2.6,3.4,2.76196,3.84564,,11.5,79,1.0365059,5,15,"Produced from high-quality, two-row spring barley, Weyermann® Pale Ale malt provides excellent body and pale color. It imparts a complex malty flavor with notes of bread, dried fruits, and honey. Processed for distinctively English characteristics, this malt is highly modified for use with either single or multi-step infusions. And the low protein and glucan levels make for easy lautering and high extract efficiency. It's the perfect foundational grist for any ale, but yields great results in lager-making, too.",https://bsgcraftbrewing.com/weyermann-pale-ale-25-kg
Pilsner Malt,Germany,Base,Weyermann,Yes,1.5,2.1,1.2719,2.08466,110,10.5,82.2,1.03798462,3.8,100,"Weyermann® Pilsner malt is a German, lager-style base malt produced from high-quality, 2-row spring barley. It contributes a pale-straw color to wort and adds mild, malty-sweet flavor with gentle notes of honey. A very flexible grain with high extract efficiency, it exhibits excellent lautering properties and yields optimum results for any brewing process from the simplest to the most complicated mashing regimen. Weyermann® Pilsner malt also provides the finished beer with substantial body and mouthfeel, as well as good foam development and head retention. Well-suited for use with any beer style, the malt is a particularly good choice for continental or American lagers, non-alcoholic or alcohol-reduced beers.",http://www.cryermalt.co.nz/malt-lot-analysis-weyermann/
Vienna Malt ,Germany,Base,Weyermann,Yes,2.8,3.9,3.03288,4.52294,93,11.6,82.2,1.03798462,3.8,100,"Weyermann® Vienna malt is a lightly kilned lager-style malt made from quality, two-row, German spring barley. It produces full-bodied beers with golden color and smooth mouthfeel. The flavor is malty-sweet with gentle notes of honey, almond, and hazelnut. Equally suited to both ales and lagers, Weyermann® Vienna malt is specifically designed for use in Vienna style beers, Festibiere, and Maerzenbier.",https://bsgcraftbrewing.com/weyermann-barke-vienna-malt
Weyermann Brewing Malt (Type Cologne),Germany,Base,Weyermann,Yes,3.1,3.9,3.43926,4.52294,,,,1,3.3,100,"Weyermann® Brewing Malt (Type Cologne) is a kilned lager-style malt made from quality, two-row, German spring barley. It creates medium-full bodied, golden colored, smooth clean tasting beers. The Weyermann® Brewing Malt (Type Cologne) shows excellent characteristics for ales, lagers, and German-style ales (Kölsch). It imparts malty-sweet notes to finished beer. Also gentle notes of honey come through when using this malt.",https://bsgcraftbrewing.com/weyermann-brewing-malt-type-cologne
Melanoidin ,Germany,Color,Weyermann,Yes,23,31,30.3958,41.2326,0,,75,1.0346575,4.5,20,"Weyermann® Melanoidin is a kilned specialty malt with an intense malt aroma and unique brewing characteristics. It has a high degree of modification of both proteins and starches, excellent friability, low β-glucan values, and high acidity. These attributes help promote flavor stability, add body, and produce a smooth mouthfeel. Weyermann® Melanoidin malt adds a deep amber to red-brown color to finished beer. The rich malt flavor has notes of honey and biscuit. Melanoidin malt is  used in dark or red-colored beers such as amber ales, scottish ales, Irish red ales, bocks, and Kellerbier.",https://bsgcraftbrewing.com/weyermann-melanoidin-25-kg
